Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnsiColorLogger.java",AnsiColorLogger.java,9,7,10,1,47,3,40,4,,,,,1,0,27,2,,2,2,6,2,,0,1,1,0,,278,16,,,,128,63,93,,,134,,,,,,,,,,79,95,55,,,40,,,,,,,,11,11,11,1,,,2,,,,1,05,19,15,20,2
File,"Ant.java",Ant.java,4,4,4,1,27,2,19,6,,,,,1,0,0,10,,10,10,10,10,,0,2,0,8,,424,46,,,,223,61,149,,,156,,,,,,,,,,118,160,62,,,98,,,,,,,,12,12,16,6,,,3,,,,0,70,43,43,49,15
File,"AntAnalyzer.java",AntAnalyzer.java,6,6,6,2,35,2,27,6,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,185,13,,,,95,37,60,,,77,,,,,,,,,,60,75,40,,,35,,,,,,,,16,16,17,5,,,5,,,,0,81,18,18,19,7
File,"AntClassLoader.java",AntClassLoader.java,2,2,2,1,20,0,8,12,,,,,2,0,3,13,,13,13,15,13,,1,1,1,10,,448,37,,,,160,72,85,,,251,,,,,,,,,,86,111,62,,,49,,,,,,,,4,4,5,1,,,3,,,,1,57,26,26,29,13
File,"AntClassLoaderTest.java",AntClassLoaderTest.java,2,2,2,1,13,0,10,2,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,112,9,,,,38,10,23,,,65,,,,,,,,,,19,26,10,,,16,,,,,,,,6,6,6,1,,,1,,,,1,71,8,8,8,3
File,"AntFilterReader.java",AntFilterReader.java,2,2,2,1,9,0,7,2,,,,,1,0,0,9,,9,9,3,9,,0,0,0,9,,172,15,,,,74,23,38,,,83,,,,,,,,,,33,52,22,,,30,,,,,,,,5,5,7,1,,,3,,,,1,12,18,18,20,9
File,"AntResolver.java",AntResolver.java,1,1,1,1,10,1,9,0,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,143,14,,,,69,26,23,,,60,,,,,,,,,,29,40,22,,,18,,,,,,,,3,3,3,1,,,1,,,,0,87,10,10,10,6
File,"AntSoundPlayer.java",AntSoundPlayer.java,1,1,2,1,11,0,6,4,,,,,1,0,0,14,,14,14,6,14,,0,3,0,11,,274,35,,,,110,43,56,,,129,,,,,,,,,,53,78,42,,,36,,,,,,,,7,7,7,4,,,2,,,,1,17,26,26,28,17
File,"AntStarTeamCheckOut.java",AntStarTeamCheckOut.java,1,1,2,1,18,1,7,9,,,,,1,1,3,43,,43,42,17,43,,0,2,12,29,,1114,172,,,,366,129,214,,,577,,,,,,,,,,186,270,124,,,146,,,,,,,,9,9,9,4,,,3,,,,1,58,82,82,90,56
File,"AntStructure.java",AntStructure.java,3,3,3,1,29,3,21,5,,,,,1,0,0,6,,6,6,6,6,,1,3,0,2,,283,33,,,,155,44,107,,,95,,,,,,,,,,99,117,39,,,78,,,,,,,,7,7,7,4,,,2,,,,0,61,21,21,21,9
