Kind,Name,File,CountClassCoupled,CountDeclMethod,CountDeclMethodAll,CountClassDerived,CountLineCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,Path,class_frequency,will_change,number_of_changes,release
Public Class,org.apache.tools.ant.taskdefs.ExecStreamRedirectorTest,ExecStreamRedirectorTest.java,2.0,4.0,4.0,0.0,55.0,22,50.0,1.0,org.apache.tools.ant.taskdefs.ExecStreamRedirectorTest.ExecStreamRedirectorTest.java,1,1,0,9
Public Class,org.apache.tools.ant.taskdefs.ExecTask,ExecTask.java,14.0,46.0,85.0,1.0,333.0,91,92.0,3.0,org.apache.tools.ant.taskdefs.ExecTask.ExecTask.java,8,1,9,9
Public Class,org.apache.tools.ant.taskdefs.ExecTaskTest,ExecTaskTest.java,5.0,3.0,3.0,0.0,111.0,17,50.0,1.0,org.apache.tools.ant.taskdefs.ExecTaskTest.ExecTaskTest.java,4,1,9,9
Private Static Class,org.apache.tools.ant.taskdefs.ExecTaskTest.MonitoredBuild,ExecTaskTest.java,3.0,8.0,8.0,0.0,40.0,10,68.0,1.0,org.apache.tools.ant.taskdefs.ExecTaskTest.MonitoredBuild.ExecTaskTest.java,4,0,9,9
Private Class,org.apache.tools.ant.taskdefs.ExecTaskTest.MonitoredBuildListener,ExecTaskTest.java,3.0,7.0,7.0,0.0,19.0,0,0.0,1.0,org.apache.tools.ant.taskdefs.ExecTaskTest.MonitoredBuildListener.ExecTaskTest.java,4,0,8,9
Public Class,org.apache.tools.ant.taskdefs.Execute,Execute.java,14.0,31.0,31.0,1.0,352.0,81,92.0,1.0,org.apache.tools.ant.taskdefs.Execute.Execute.java,8,1,9,9
Anonymous Class,org.apache.tools.ant.taskdefs.Execute.spawn.(Anon_1),Execute.java,0.0,1.0,1.0,0.0,4.0,25,0.0,2.0,org.apache.tools.ant.taskdefs.Execute.spawn.(Anon_1).Execute.java,4,0,9,9
Public Class,org.apache.tools.ant.taskdefs.ExecuteJava,ExecuteJava.java,17.0,12.0,12.0,0.0,197.0,43,76.0,1.0,org.apache.tools.ant.taskdefs.ExecuteJava.ExecuteJava.java,8,1,9,9
Public Class,org.apache.tools.ant.taskdefs.ExecuteJavaTest,ExecuteJavaTest.java,7.0,7.0,7.0,0.0,76.0,14,47.0,1.0,org.apache.tools.ant.taskdefs.ExecuteJavaTest.ExecuteJavaTest.java,5,0,9,9
Public Class,org.apache.tools.ant.taskdefs.ExecuteOn,ExecuteOn.java,26.0,32.0,117.0,4.0,424.0,57,92.0,4.0,org.apache.tools.ant.taskdefs.ExecuteOn.ExecuteOn.java,8,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.ExecuteOn.FileDirBoth,ExecuteOn.java,0.0,1.0,10.0,0.0,7.0,43,0.0,2.0,org.apache.tools.ant.taskdefs.ExecuteOn.FileDirBoth.ExecuteOn.java,8,1,8,9
Public Class,org.apache.tools.ant.taskdefs.ExecuteWatchdog,ExecuteWatchdog.java,2.0,9.0,9.0,0.0,63.0,17,64.0,1.0,org.apache.tools.ant.taskdefs.ExecuteWatchdog.ExecuteWatchdog.java,8,1,8,9
Public Class,org.apache.tools.ant.taskdefs.ExecuteWatchdogTest,ExecuteWatchdogTest.java,4.0,9.0,9.0,0.0,96.0,20,44.0,1.0,org.apache.tools.ant.taskdefs.ExecuteWatchdogTest.ExecuteWatchdogTest.java,7,1,9,9
